Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 58 [2560/5000 (50%)]	Loss: 0.298005
Task: 0 Train Epoch: 58 [3840/5000 (75%)]	Loss: 0.347676
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 765/1000(76%)

Task: 0 Train Epoch: 59 [0/5000 (0%)]	Loss: 0.377628
Task: 0 Train Epoch: 59 [1280/5000 (25%)]	Loss: 0.352473
Task: 0 Train Epoch: 59 [2560/5000 (50%)]	Loss: 0.214255
Task: 0 Train Epoch: 59 [3840/5000 (75%)]	Loss: 0.325721
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 768/1000(77%)

Task: 0 Train Epoch: 60 [0/5000 (0%)]	Loss: 0.257814
Task: 0 Train Epoch: 60 [1280/5000 (25%)]	Loss: 0.186515
Task: 0 Train Epoch: 60 [2560/5000 (50%)]	Loss: 0.219345
Task: 0 Train Epoch: 60 [3840/5000 (75%)]	Loss: 0.187712
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 799/1000(80%)

Task: 0 Train Epoch: 61 [0/5000 (0%)]	Loss: 0.201403
Task: 0 Train Epoch: 61 [1280/5000 (25%)]	Loss: 0.163121
Task: 0 Train Epoch: 61 [2560/5000 (50%)]	Loss: 0.239091
Task: 0 Train Epoch: 61 [3840/5000 (75%)]	Loss: 0.105042
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 798/1000(80%)

Task: 0 Train Epoch: 62 [0/5000 (0%)]	Loss: 0.124101
Task: 0 Train Epoch: 62 [1280/5000 (25%)]	Loss: 0.249541
Task: 0 Train Epoch: 62 [2560/5000 (50%)]	Loss: 0.254680
Task: 0 Train Epoch: 62 [3840/5000 (75%)]	Loss: 0.144544
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 794/1000(79%)

Task: 0 Train Epoch: 63 [0/5000 (0%)]	Loss: 0.261195
Task: 0 Train Epoch: 63 [1280/5000 (25%)]	Loss: 0.199891
Task: 0 Train Epoch: 63 [2560/5000 (50%)]	Loss: 0.158072
Task: 0 Train Epoch: 63 [3840/5000 (75%)]	Loss: 0.167661
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 802/1000(80%)

Task: 0 Train Epoch: 64 [0/5000 (0%)]	Loss: 0.132458
Task: 0 Train Epoch: 64 [1280/5000 (25%)]	Loss: 0.163470
Task: 0 Train Epoch: 64 [2560/5000 (50%)]	Loss: 0.146638
Task: 0 Train Epoch: 64 [3840/5000 (75%)]	Loss: 0.163121
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 802/1000(80%)

Task: 0 Train Epoch: 65 [0/5000 (0%)]	Loss: 0.200487
Task: 0 Train Epoch: 65 [1280/5000 (25%)]	Loss: 0.238681
Task: 0 Train Epoch: 65 [2560/5000 (50%)]	Loss: 0.113358
Task: 0 Train Epoch: 65 [3840/5000 (75%)]	Loss: 0.129272
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 798/1000(80%)

Task: 0 Train Epoch: 66 [0/5000 (0%)]	Loss: 0.113088
Task: 0 Train Epoch: 66 [1280/5000 (25%)]	Loss: 0.205757
Task: 0 Train Epoch: 66 [2560/5000 (50%)]	Loss: 0.232163
Task: 0 Train Epoch: 66 [3840/5000 (75%)]	Loss: 0.185876
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 796/1000(80%)

Task: 0 Train Epoch: 67 [0/5000 (0%)]	Loss: 0.164121
Task: 0 Train Epoch: 67 [1280/5000 (25%)]	Loss: 0.158862
Task: 0 Train Epoch: 67 [2560/5000 (50%)]	Loss: 0.171843
Task: 0 Train Epoch: 67 [3840/5000 (75%)]	Loss: 0.188210
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 799/1000(80%)

Task: 0 Train Epoch: 68 [0/5000 (0%)]	Loss: 0.164162
Task: 0 Train Epoch: 68 [1280/5000 (25%)]	Loss: 0.195735
Task: 0 Train Epoch: 68 [2560/5000 (50%)]	Loss: 0.210083
Task: 0 Train Epoch: 68 [3840/5000 (75%)]	Loss: 0.255415
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 806/1000(81%)

Task: 0 Train Epoch: 69 [0/5000 (0%)]	Loss: 0.183951
Task: 0 Train Epoch: 69 [1280/5000 (25%)]	Loss: 0.206998
Task: 0 Train Epoch: 69 [2560/5000 (50%)]	Loss: 0.150329
Task: 0 Train Epoch: 69 [3840/5000 (75%)]	Loss: 0.139669
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 804/1000(80%)

Task: 0 Train Epoch: 70 [0/5000 (0%)]	Loss: 0.112944
